local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Observed,Condition was observed or reported (this will be the case for most conditions),condition,Condition Interpretation,Condition Interpretation,LA33635-6,Observed,http://loinc.org
Observed,Condition was observed or reported (this will be the case for most conditions),Condition,Condition Interpretation,Condition Interpretation,confirmed,Confirmed,http://terminology.hl7.org/CodeSystem/condition-ver-status
Not Observed,Not Observed,condition,Condition Interpretation,Condition Interpretation,LA19655-2,Not Observed,http://loinc.org
Current,Condition is ongoing,Condition,Condition Status,Condition Status,LA9040-2,Ongoing,http://loinc.org
Resolved,Condition has been resolved,Condition,Condition Status,Condition Status,LA9041-0,Resolved,http://loinc.org
History Of,History Of,condition,Condition Status,Condition Status,392521001,Histor of,SMOMED,http://snomed.info/sct
Height at last encounter,Height at last encounter,condition,Other Code,condition_description,8302-2,Body height,https://loinc.org/,
vitaminB12deficiency,vitaminB12deficiency,condition,MONDO Code,condition_description,0020696,"inborn disorder of cobalamin metabolism and transport, vitamin B12 deficiency",http://purl.obolibrary.org/obo/mondo.owl,
vitaminB12deficiency,vitaminB12deficiency,condition,MONDO Code,condition_description,0019220,"inborn disorder of cobalamin metabolism and transport, vitamin B12 deficiency",http://purl.obolibrary.org/obo/mondo.owl,
Hidradenitis suppurativa,Hidradenitis suppurativa,condition,MONDO Code,condition_description,0006559,hidradenitis suppurativa,http://purl.obolibrary.org/obo/mondo.owl,
Alzheimer's disease,Alzheimer's disease,condition,MONDO Code,condition_description,0004975,Alzheimer disease,http://purl.obolibrary.org/obo/mondo.owl,
Esophagitis,Esophagitis,condition,MONDO Code,condition_description,0001409,esophagitis,http://purl.obolibrary.org/obo/mondo.owl,
Esophageal atresia,Esophageal atresia,condition,MONDO Code,condition_description,0001044,esophageal atresia,http://purl.obolibrary.org/obo/mondo.owl,
Appendicitis,Appendicitis,condition,MONDO Code,condition_description,0005649,appendicitis,http://purl.obolibrary.org/obo/mondo.owl,
BMI,BMI,condition,Other Code,condition_description,39156-5,Body mass index (BMI),https://loinc.org/,
Follicular disorder,Follicular disorder,condition,MONDO Code,condition_description,0006552,folliculitis,http://purl.obolibrary.org/obo/mondo.owl,
Xerosis cutis ,Xerosis cutis ,condition,MONDO Code,condition_description,0019269,ichthyosis,http://purl.obolibrary.org/obo/mondo.owl,
Gastroesophageal reflux,Gastroesophageal reflux,condition,MONDO Code,condition_description,0007186,gastroesophageal reflux disease,http://purl.obolibrary.org/obo/mondo.owl,
Acute recurrent sinusitis,Acute recurrent sinusitis,condition,MONDO Code,condition_description,0006031,chronic rhinosinusitis,http://purl.obolibrary.org/obo/mondo.owl,
Dermatomyositis,Dermatomyositis,condition,MONDO Code,condition_description,0016367,dermatomyositis,http://purl.obolibrary.org/obo/mondo.owl,
Pyloric stenosis,Pyloric stenosis,condition,MONDO Code,condition_description,0001561,pyloric stenosis,http://purl.obolibrary.org/obo/mondo.owl,
Ptosis,Ptosis,condition,MONDO Code,condition_description,0000728,ptosis,http://purl.obolibrary.org/obo/mondo.owl,
Celiac disease,Celiac disease,condition,MONDO Code,condition_description,0005130,celiac disease,http://purl.obolibrary.org/obo/mondo.owl,
