local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Observed,Condition was observed or reported (this will be the case for most conditions),condition,Condition Interpretation,Condition Interpretation,LA33635-6,Observed,http://loinc.org
Observed,Condition was observed or reported (this will be the case for most conditions),Condition,Condition Interpretation,Condition Interpretation,confirmed,Confirmed,http://terminology.hl7.org/CodeSystem/condition-ver-status
Not Observed,Not Observed,condition,Condition Interpretation,Condition Interpretation,LA19655-2,Not Observed,http://loinc.org
Current,Condition is ongoing,Condition,Condition Status,Condition Status,LA9040-2,Ongoing,http://loinc.org
Resolved,Condition has been resolved,Condition,Condition Status,Condition Status,LA9041-0,Resolved,http://loinc.org
History Of,History Of,condition,Condition Status,Condition Status,392521001,Histor of,SMOMED,http://snomed.info/sct
T&A 2008,T&A 2008,condition,MAXO Code,condition_description,0001081,tonsillectomy,http://purl.obolibrary.org/obo/maxo.owl,
T&A 2008,T&A 2008,condition,Other Code,condition_description,28913000,Tonsillectomy and adenoidectomy (procedure),http://snomed.info/sct,
T&A 2008,T&A 2008,condition,MAXO Code,condition_description,0001029,adenoidectomy,http://purl.obolibrary.org/obo/maxo.owl,
T&A,T&A,condition,MAXO Code,condition_description,0001081,tonsillectomy,http://purl.obolibrary.org/obo/maxo.owl,
T&A,T&A,condition,Other Code,condition_description,28913000,Tonsillectomy and adenoidectomy (procedure),http://snomed.info/sct,
T&A,T&A,condition,MAXO Code,condition_description,0001029,adenoidectomy,http://purl.obolibrary.org/obo/maxo.owl,
T-tubes,T-tubes,condition,MAXO Code,condition_description,0009044,myringotomy and insertion of tympanic ventilation tube,http://purl.obolibrary.org/obo/maxo.owl,
DS,DS,condition,MONDO Code,condition_description,0008608,Down syndrome,http://purl.obolibrary.org/obo/mondo.owl,
PET 2011,PET 2011,condition,MAXO Code,condition_description,0000137,positron emission tomography procedure,http://purl.obolibrary.org/obo/maxo.owl,
ASD,ASD,condition,HPO Code,condition_description,0001631,Atrial septal defect,http://purl.obolibrary.org/obo/hp.owl,
ASD,ASD,condition,MONDO Code,condition_description,0006664,atrial septal defect,http://purl.obolibrary.org/obo/mondo.owl,
Tympanoplasty,Tympanoplasty,condition,Other Code,condition_description,0015269,Tympanoplasty,http://purl.obolibrary.org/obo/omit.owl,
Mynngotomy,Mynngotomy,condition,Other Code,condition_description,C70905,Myringotomy,http://purl.obolibrary.org/obo/ncit.owl,
Ventricular Septal Defect Closure,Ventricular Septal Defect Closure,condition,HPO Code,condition_description,0001629,Ventricular septal defect,http://purl.obolibrary.org/obo/hp.owl,
Ventricular Septal Defect Closure,Ventricular Septal Defect Closure,condition,MONDO Code,condition_description,0002070,ventricular septal defect,http://purl.obolibrary.org/obo/mondo.owl,
Ventricular Septal Defect Closure,Ventricular Septal Defect Closure,condition,MAXO Code,condition_description,0025002,heart repair,http://purl.obolibrary.org/obo/maxo.owl,
