local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Observed,Condition was observed or reported (this will be the case for most conditions),condition,Condition Interpretation,Condition Interpretation,LA33635-6,Observed,http://loinc.org
Observed,Condition was observed or reported (this will be the case for most conditions),Condition,Condition Interpretation,Condition Interpretation,confirmed,Confirmed,http://terminology.hl7.org/CodeSystem/condition-ver-status
Not Observed,Not Observed,condition,Condition Interpretation,Condition Interpretation,LA19655-2,Not Observed,http://loinc.org
Current,Condition is ongoing,Condition,Condition Status,Condition Status,LA9040-2,Ongoing,http://loinc.org
Resolved,Condition has been resolved,Condition,Condition Status,Condition Status,LA9041-0,Resolved,http://loinc.org
History Of,History Of,condition,Condition Status,Condition Status,392521001,Histor of,SMOMED,http://snomed.info/sct
Parent- or caregiver-reported medical diagnosis of hypothyroidism at the baseline visit - Yes,Parent- or caregiver-reported medical diagnosis of hypothyroidism at the baseline visit - Yes,condition,HPO Code,condition_description,0000821,Hypothyroidism,http://purl.obolibrary.org/obo/hp.owl,
Parent- or caregiver-reported medical diagnosis of hypothyroidism at the baseline visit - Yes,Parent- or caregiver-reported medical diagnosis of hypothyroidism at the baseline visit - Yes,condition,MONDO Code,condition_description,0005420,hypothyroidism,http://purl.obolibrary.org/obo/mondo.owl,
Was the participant born with a heart condition - Yes,Was the participant born with a heart condition - Yes,condition,HPO Code,condition_description,0001627,Abnormal heart morphology,http://purl.obolibrary.org/obo/hp.owl,
Was the participant born with a heart condition - Yes,Was the participant born with a heart condition - Yes,condition,MONDO Code,condition_description,0005267,heart disorder,http://purl.obolibrary.org/obo/mondo.owl,
Patent Ductus Arteriosus - Yes,Patent Ductus Arteriosus - Yes,condition,HPO Code,condition_description,0001643,Patent ductus arteriosus,http://purl.obolibrary.org/obo/hp.owl,
Patent Ductus Arteriosus - Yes,Patent Ductus Arteriosus - Yes,condition,MONDO Code,condition_description,0011827,patent ductus arteriosus,http://purl.obolibrary.org/obo/mondo.owl,
Has the participant ever had heart or blood vessel surgery or a cardiac catheterization - Yes?,Has the participant ever had heart or blood vessel surgery or a cardiac catheterization - Yes?,condition,Other Code,condition_description,30904006,Vascular surgery procedure (procedure),http://snomed.info/sct,
Parent- or caregiver-reported food allergies at the baseline visit - Yes,Parent- or caregiver-reported food allergies at the baseline visit - Yes,condition,HPO Code,condition_description,0500093,Food allergy,http://purl.obolibrary.org/obo/hp.owl,
Parent- or caregiver-reported food allergies at the baseline visit - Yes,Parent- or caregiver-reported food allergies at the baseline visit - Yes,condition,MONDO Code,condition_description,0700226,food allergy,http://purl.obolibrary.org/obo/mondo.owl,
Ventricular Septal Defect - Yes,Ventricular Septal Defect - Yes,condition,HPO Code,condition_description,0001629,Ventricular septal defect,http://purl.obolibrary.org/obo/hp.owl,
Ventricular Septal Defect - Yes,Ventricular Septal Defect - Yes,condition,MONDO Code,condition_description,0002070,ventricular septal defect,http://purl.obolibrary.org/obo/mondo.owl,
Atrial Septal Defect - Yes,Atrial Septal Defect - Yes,condition,HPO Code,condition_description,0001631,Atrial septal defect,http://purl.obolibrary.org/obo/hp.owl,
