local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Controlled,Controlled,datafile,Data Access,Data Access,controlled,Controlled,https://includedcc.org/fhir/code-systems/data_access_types,
Open,Open,datafile,Data Access,Data Access,open,Open,https://includedcc.org/fhir/code-systems/data_access_types,
Registered,Registered,datafile,Data Access,Data Access,registered,Registered,https://includedcc.org/fhir/code-systems/data_access_types,
Aligned Reads,Aligned Reads,datafile,Data Type,Data Type,Aligned-Reads,Aligned Reads,https://includedcc.org/fhir/code-systems/data_types,
Aligned Reads Index,Aligned Reads Index,datafile,Data Type,Data Type,Aligned-Reads-Index,Aligned Reads Index,https://includedcc.org/fhir/code-systems/data_types,
Alternative Splicing,Alternative Splicing,datafile,Data Type,Data Type,Alternative-Splicing,Alternative Splicing,https://includedcc.org/fhir/code-systems/data_types,
Annotated Gene Fusion,Annotated Gene Fusion,datafile,Data Type,Data Type,Gene-Fusions,Gene Fusions,https://includedcc.org/fhir/code-systems/data_types,
Annotated Variant Call,Annotated Variant Call,datafile,Data Type,Data Type,Variant-Calls,Variant Calls,https://includedcc.org/fhir/code-systems/data_types,
Annotated Variant Call Index,Annotated Variant Call Index,datafile,Data Type,Data Type,Variant-Calls-Index,Variant Call Index,https://includedcc.org/fhir/code-systems/data_types,
Familial Relationships Report,Familial Relationships Report,datafile,Data Type,Data Type,Peddy-Family-Sex,Peddy - Family/Sex,https://includedcc.org/fhir/code-systems/data_types,
Gene Expression,Gene Expression,datafile,Data Type,Data Type,Gene-Expression-Quantifications,Gene Expression Quantifications,https://includedcc.org/fhir/code-systems/data_types,
Gene Expression Quantification,Gene Expression Quantification,datafile,Data Type,Data Type,Gene-Expression-Quantifications,Gene Expression Quantifications,https://includedcc.org/fhir/code-systems/data_types,
Gene Fusions,Gene Fusions,datafile,Data Type,Data Type,Gene-Fusions,Gene Fusions,https://includedcc.org/fhir/code-systems/data_types,
Genome Aligned Read,Genome Aligned Read,datafile,Data Type,Data Type,Aligned-Reads,Aligned Reads,https://includedcc.org/fhir/code-systems/data_types,
Genome Aligned Read Index,Genome Aligned Read Index,datafile,Data Type,Data Type,Aligned-Reads-Index,Aligned Reads Index,https://includedcc.org/fhir/code-systems/data_types,
Genomic Variant,Genomic Variant,datafile,Data Type,Data Type,gVCF,gVCF,https://includedcc.org/fhir/code-systems/data_types,
Genomic Variant Index,Genomic Variant Index,datafile,Data Type,Data Type,gVCF-Index,gVCF Index,https://includedcc.org/fhir/code-systems/data_types,
gVCF,Genomic Variant,datafile,Data Type,Data Type,gVCF,gVCF,https://includedcc.org/fhir/code-systems/data_types,
gVCF Index,Genomic Variant Index,datafile,Data Type,Data Type,gVCF-Index,gVCF Index,https://includedcc.org/fhir/code-systems/data_types,
Isoform Expression Quantification,Isoform Expression Quantification,datafile,Data Type,Data Type,Isoform-Expression-Quantifications,Isoform Expression Quantifications,https://includedcc.org/fhir/code-systems/data_types,
Other,Other,datafile,Data Type,Data Type,Other,Other,https://includedcc.org/fhir/code-systems/data_types,
Preprocessed metabolite relative abundance,Preprocessed metabolite relative abundance,datafile,Data Type,Data Type,Preprocessed-metabolite-relative-abundance,Preprocessed metabolite relative abundance,https://includedcc.org/fhir/code-systems/data_types,
Protein abundance (absolute protein concentration),Protein abundance (absolute protein concentration),datafile,Data Type,Data Type,Protein-abundance-absolute-protein-concentration,Protein abundance (absolute protein concentration),https://includedcc.org/fhir/code-systems/data_types,
Raw Gene Fusion,Raw Gene Fusion,datafile,Data Type,Data Type,Raw-Gene-Fusions,Raw Gene Fusions,https://includedcc.org/fhir/code-systems/data_types,
Unaligned reads,Unaligned reads,datafile,Data Type,Data Type,Unaligned-Reads,Unaligned Reads,https://includedcc.org/fhir/code-systems/data_types,
Unaligned Reads,Unaligned Reads,datafile,Data Type,Data Type,Unaligned-Reads,Unaligned Reads,https://includedcc.org/fhir/code-systems/data_types,
Variant Calls,Variant Calls,datafile,Data Type,Data Type,Variant-Calls,Variant Calls,https://includedcc.org/fhir/code-systems/data_types,
Variant Calls Index,Variant Calls Index,datafile,Data Type,Data Type,Variant-Calls-Index,Variant Calls Index,https://includedcc.org/fhir/code-systems/data_types,
LCMS_Metabolomics,LCMS_Metabolomics,datafile,Experimental Strategy,Experimental Strategy,LCMS-Metabolomics,LCMS Metabolomics,https://includedcc.org/fhir/code-systems/experimental_strategies,
LCMS Metabolomics,LCMS Metabolomics,datafile,Experimental Strategy,Experimental Strategy,LCMS-Metabolomics,LCMS Metabolomics,https://includedcc.org/fhir/code-systems/experimental_strategies,
Multiplex Immunoassay,Multiplex Immunoassay,datafile,Experimental Strategy,Experimental Strategy,Multiplex-Immunoassay,Multiplex Immunoassay,https://includedcc.org/fhir/code-systems/experimental_strategies,
RNAseq,RNAseq,datafile,Experimental Strategy,Experimental Strategy,RNA-Seq,RNA-Seq,https://includedcc.org/fhir/code-systems/experimental_strategies,
Whole genome sequencing,Whole genome sequencing,datafile,Experimental Strategy,Experimental Strategy,WGS,Whole Genome Sequencing,https://includedcc.org/fhir/code-systems/experimental_strategies,
WGS,Whole genome sequencing,datafile,Experimental Strategy,Experimental Strategy,WGS,Whole Genome Sequencing,https://includedcc.org/fhir/code-systems/experimental_strategies,
