local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Study Code,Study Code,dataset_meta,,dataset_meta,study-code,Study Code,https://includedcc.org/fhir/code-systems/dataset_meta,
Dataset Name,Dataset Name,dataset_meta,,dataset_meta,dataset-name,Dataset Name,https://includedcc.org/fhir/code-systems/dataset_meta,
Dataset Description,Dataset Description,dataset_meta,,dataset_meta,dataset-description,Dataset Description,https://includedcc.org/fhir/code-systems/dataset_meta,
Dataset Global ID,Dataset Global ID,dataset_meta,,dataset_meta,dataset-global-id,Dataset Global ID,https://includedcc.org/fhir/code-systems/dataset_meta,
Dataset External ID,Dataset External ID,dataset_meta,,dataset_meta,dataset-external-id,Dataset External ID,https://includedcc.org/fhir/code-systems/dataset_meta,
Expected Number of Participants,Expected Number of Participants,dataset_meta,,dataset_meta,expected-number-of-participants,Expected Number of Participants,https://includedcc.org/fhir/code-systems/dataset_meta,
Expected Number of Files,Expected Number of Files,dataset_meta,,dataset_meta,expected-number-of-files,Expected Number of Files,https://includedcc.org/fhir/code-systems/dataset_meta,
Data Collection Start Year,Data Collection Start Year,dataset_meta,,dataset_meta,data-collection-start-year,Data Collection Start Year,https://includedcc.org/fhir/code-systems/dataset_meta,
Data Collection End Year,Data Collection End Year,dataset_meta,,dataset_meta,data-collection-end-year,Data Collection End Year,https://includedcc.org/fhir/code-systems/dataset_meta,
Data Category,Data Category,dataset_meta,,dataset_meta,data-category,Data Category,https://includedcc.org/fhir/code-systems/dataset_meta,
Data Type,Data Type,dataset_meta,,dataset_meta,data-type,Data Type,https://includedcc.org/fhir/code-systems/dataset_meta,
Experimental Strategy,Experimental Strategy,dataset_meta,,dataset_meta,experimental-strategy,Experimental Strategy,https://includedcc.org/fhir/code-systems/dataset_meta,
Experimental Platform,Experimental Platform,dataset_meta,,dataset_meta,experimental-platform,Experimental Platform,https://includedcc.org/fhir/code-systems/dataset_meta,
Publication,Publication,dataset_meta,,dataset_meta,publication,Publication,https://includedcc.org/fhir/code-systems/dataset_meta,
Access Limitations,Access Limitations,dataset_meta,,dataset_meta,access-limitations,Access Limitations,https://includedcc.org/fhir/code-systems/dataset_meta,
Access Requirements,Access Requirements,dataset_meta,,dataset_meta,access-requirements,Access Requirements,https://includedcc.org/fhir/code-systems/dataset_meta,
dbGaP,dbGaP,dataset_meta,,dataset_meta,dbGaP,dbGaP,https://includedcc.org/fhir/code-systems/dataset_meta,
Other Repository,Other Repository,dataset_meta,,dataset_meta,other-repository,Other Repository,https://includedcc.org/fhir/code-systems/dataset_meta,
Other Access Authority,Other Access Authority,dataset_meta,,dataset_meta,other-access-authority,Other Access Authority,https://includedcc.org/fhir/code-systems/dataset_meta,
Is Harmonized,Is Harmonized,dataset_meta,,dataset_meta,is-harmonized,Is Harmonized,https://includedcc.org/fhir/code-systems/dataset_meta,
DS-COG-ALL,DS-COG-ALL,dataset_meta,Study Code,Study Code,DS-COG-ALL,DS-COG-ALL,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/study_code,
DS-PCGC,DS-PCGC,dataset_meta,Study Code,Study Code,DS-PCGC,DS-PCGC,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/study_code,
DS360-CHD,DS360-CHD,dataset_meta,Study Code,Study Code,DS360-CHD,DS360-CHD,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/study_code,
DSC,DSC,dataset_meta,Study Code,Study Code,DSC,DSC,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/study_code,
HTP,HTP,dataset_meta,Study Code,Study Code,HTP,HTP,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/study_code,
X01-deSmith,X01-deSmith,dataset_meta,Study Code,Study Code,X01-deSmith,X01-deSmith,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/study_code,
X01-Hakonarson,X01-Hakonarson,dataset_meta,Study Code,Study Code,X01-Hakonarson,X01-Hakonarson,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/study_code,
DS-COG-ALL Unharmonized Demographic/Clinical Data,DS-COG-ALL Unharmonized Demographic/Clinical Data,dataset_meta,Dataset Name,Dataset Name,DS-COG-ALL Unharmonized Demographic/Clinical Data,DS-COG-ALL Unharmonized Demographic/Clinical Data,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
DS-COG-ALL Whole Genome Sequencing,DS-COG-ALL Whole Genome Sequencing,dataset_meta,Dataset Name,Dataset Name,DS-COG-ALL Whole Genome Sequencing,DS-COG-ALL Whole Genome Sequencing,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
DS-Connect Unharmonized Demographic/Clinical Data,DS-Connect Unharmonized Demographic/Clinical Data,dataset_meta,Dataset Name,Dataset Name,DS-Connect Unharmonized Demographic/Clinical Data,DS-Connect Unharmonized Demographic/Clinical Data,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
DS-PCGC Unharmonized Demographic/Clinical Data,DS-PCGC Unharmonized Demographic/Clinical Data,dataset_meta,Dataset Name,Dataset Name,DS-PCGC Unharmonized Demographic/Clinical Data,DS-PCGC Unharmonized Demographic/Clinical Data,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
DS-PCGC Whole Genome Sequencing,DS-PCGC Whole Genome Sequencing,dataset_meta,Dataset Name,Dataset Name,DS-PCGC Whole Genome Sequencing,DS-PCGC Whole Genome Sequencing,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
DS360-CHD Unharmonized Demographic/Clinical Data,DS360-CHD Unharmonized Demographic/Clinical Data,dataset_meta,Dataset Name,Dataset Name,DS360-CHD Unharmonized Demographic/Clinical Data,DS360-CHD Unharmonized Demographic/Clinical Data,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
DS360-CHD Whole Genome Sequencing,DS360-CHD Whole Genome Sequencing,dataset_meta,Dataset Name,Dataset Name,DS360-CHD Whole Genome Sequencing,DS360-CHD Whole Genome Sequencing,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
HTP Plasma Inflammatory Markers (MSD v1),HTP Plasma Inflammatory Markers (MSD v1),dataset_meta,Dataset Name,Dataset Name,HTP Plasma Inflammatory Markers (MSD v1),HTP Plasma Inflammatory Markers (MSD v1),https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
HTP Plasma Metabolomics (v1),HTP Plasma Metabolomics (v1),dataset_meta,Dataset Name,Dataset Name,HTP Plasma Metabolomics (v1),HTP Plasma Metabolomics (v1),https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
HTP Unharmonized Demographic/Clinical Data,HTP Unharmonized Demographic/Clinical Data,dataset_meta,Dataset Name,Dataset Name,HTP Unharmonized Demographic/Clinical Data,HTP Unharmonized Demographic/Clinical Data,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
HTP Whole Blood RNAseq (v1),HTP Whole Blood RNAseq (v1),dataset_meta,Dataset Name,Dataset Name,HTP Whole Blood RNAseq (v1),HTP Whole Blood RNAseq (v1),https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
X01-deSmith Unharmonized Demographic/Clinical Data,X01-deSmith Unharmonized Demographic/Clinical Data,dataset_meta,Dataset Name,Dataset Name,X01-deSmith Unharmonized Demographic/Clinical Data,X01-deSmith Unharmonized Demographic/Clinical Data,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
X01-deSmith Whole Genome Sequencing,X01-deSmith Whole Genome Sequencing,dataset_meta,Dataset Name,Dataset Name,X01-deSmith Whole Genome Sequencing,X01-deSmith Whole Genome Sequencing,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
X01-Hakonarson RNASeq,X01-Hakonarson RNASeq,dataset_meta,Dataset Name,Dataset Name,X01-Hakonarson RNASeq,X01-Hakonarson RNASeq,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
X01-Hakonarson Unharmonized Demographic/Clinical Data,X01-Hakonarson Unharmonized Demographic/Clinical Data,dataset_meta,Dataset Name,Dataset Name,X01-Hakonarson Unharmonized Demographic/Clinical Data,X01-Hakonarson Unharmonized Demographic/Clinical Data,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
X01-Hakonarson Whole Genome Sequencing,X01-Hakonarson Whole Genome Sequencing,dataset_meta,Dataset Name,Dataset Name,X01-Hakonarson Whole Genome Sequencing,X01-Hakonarson Whole Genome Sequencing,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/dataset_name,
Genomics,Genomics,dataset_meta,Data Category,Data Category,Genomics,Genomics,https://includedcc.org/fhir/code-systems/expected_data_category,
Metabolomics,Metabolomics,dataset_meta,Data Category,Data Category,Metabolomics,Metabolomics,https://includedcc.org/fhir/code-systems/expected_data_category,
Proteomics,Proteomics,dataset_meta,Data Category,Data Category,Proteomics,Proteomics,https://includedcc.org/fhir/code-systems/expected_data_category,
Transcriptomics,Transcriptomics,dataset_meta,Data Category,Data Category,Transcriptomics,Transcriptomics,https://includedcc.org/fhir/code-systems/expected_data_category,
Unharmonized Demographic/Clinical Data,Unharmonized Demographic/Clinical Data,dataset_meta,Data Category,Data Category,unharmonized_demographic_clinical_data,Unharmonized Demographic/Clinical Data,https://includedcc.org/fhir/code-systems/expected_data_category,
Harmonized Demographic/Clinical Data,Harmonized Demographic/Clinical Data,study_meta,Data Category,Data Category,harmonized_demographic_clinical_data,Harmonized Demographic/Clinical Data,https://includedcc.org/fhir/code-systems/expected_data_category,
Cognitive/Behavioral,Cognitive/Behavioral,study_meta,Data Category,Data Category,Cognitive/Behavioral,cognitive_behavioral,https://includedcc.org/fhir/code-systems/expected_data_category,
Immune Maps,Immune Maps,study_meta,Data Category,Data Category,immune_maps,Immune Maps,https://includedcc.org/fhir/code-systems/expected_data_category,
Imaging,Imaging,study_meta,Data Category,Data Category,imaging,Imaging,https://includedcc.org/fhir/code-systems/expected_data_category,
Microbiome,Microbiome,study_meta,Data Category,Data Category,microbiome,Microbiome,https://includedcc.org/fhir/code-systems/expected_data_category,
Other,Other,study_meta,Data Category,Data Category,other,Other,https://includedcc.org/fhir/code-systems/expected_data_category,
Sleep Study,Sleep Study,study_meta,Data Category,Data Category,sleep_study,Sleep Study,https://includedcc.org/fhir/code-systems/expected_data_category,
Illumina,Illumina,dataset_meta,Experimental Platform,Experimental Platform,illumina,Illumina,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/experimental_platform,
Illumina NovaSeq,Illumina NovaSeq,dataset_meta,Experimental Platform,Experimental Platform,illumina_novaSeq,Illumina NovaSeq,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/experimental_platform,
Meso Scale Discovery,Meso Scale Discovery,dataset_meta,Experimental Platform,Experimental Platform,meso-scale_discovery,Meso Scale Discovery,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/experimental_platform,
Ultra high-performance liquid chromatography-mass spectrometry (UHPLC-MS),Ultra high-performance liquid chromatography-mass spectrometry (UHPLC-MS),dataset_meta,Experimental Platform,Experimental Platform,ultra_high-performance_liquid_chromatography-mass_spectrometry_UHPLC-MS,Ultra high-performance liquid chromatography-mass spectrometry (UHPLC-MS),https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_meta/experimental_platform,
Study Code,Study Code,dataset_file_manifest,,dataset_file_manifest,study_code,Study Code,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
Participant External ID,"Unique INCLUDE global identifier for the participant, assigned by DCC",dataset_file_manifest,,dataset_file_manifest,participant_external_id,"Unique INCLUDE global identifier for the participant, assigned by DCC",https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
Sample External ID,"Unique identifier for sample, assigned by data contributor. A sample is a unique biological material; two samples with two different IDs are biologically distinct.",dataset_file_manifest,,dataset_file_manifest,Sample External ID,"Unique identifier for sample, assigned by data contributor. A sample is a unique biological material; two samples with two different IDs are biologically distinct.",https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
Sample Global ID,Sample Global ID,dataset_file_manifest,,dataset_file_manifest,Sample Global ID,Sample Global ID,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
File Global ID,"INCLUDE global file identifier, assigned by DCC",dataset_file_manifest,,dataset_file_manifest,File Global ID,"INCLUDE global file identifier, assigned by DCC",https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
File Name,"Name of file, assigned by data contributor",dataset_file_manifest,,dataset_file_manifest,File Name,"Name of file, assigned by data contributor",https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
File S3 Location,File S3 Location,dataset_file_manifest,,dataset_file_manifest,File S3 Location,File S3 Location,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
File Upload Location,File Upload Location,dataset_file_manifest,,dataset_file_manifest,File Upload Location,File Upload Location,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
DRS URI,DRS URI,dataset_file_manifest,,dataset_file_manifest,DRS URI,DRS URI,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
File Hash,md5 hash of this file for validation (if known),dataset_file_manifest,,dataset_file_manifest,File Hash,md5 hash of this file for validation (if known),https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
Data Access,"Type of access control on this file, determined by DCC",dataset_file_manifest,,dataset_file_manifest,Data Access,"Type of access control on this file, determined by DCC",https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
Data Category,"General category of data in file (e.g. Clinical, Genomics, Proteomics, Metabolomics, Immune profiling, Transcriptomics)",dataset_file_manifest,,dataset_file_manifest,Data Category,"General category of data in file (e.g. Clinical, Genomics, Proteomics, Metabolomics, Immune profiling, Transcriptomics)",https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
Data Type,"Specific type of data contained in file (e.g. Preprocessed metabolite relative abundance, Absolute protein concentration, Aligned reads, Simple nucleotide variations, GVCF, Gene expression quantifications, Gene fusions, Somatic copy number variations, Somatic structural variations)",dataset_file_manifest,,dataset_file_manifest,Data Type,"Specific type of data contained in file (e.g. Preprocessed metabolite relative abundance, Absolute protein concentration, Aligned reads, Simple nucleotide variations, GVCF, Gene expression quantifications, Gene fusions, Somatic copy number variations, Somatic structural variations)",https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
Experimental Strategy,"Experimental method used to obtain data in file (e.g. Whole genome sequencing, RNAseq, Multiplex immunoassay, Mass spec metabolomics)",dataset_file_manifest,,dataset_file_manifest,Experimental Strategy,"Experimental method used to obtain data in file (e.g. Whole genome sequencing, RNAseq, Multiplex immunoassay, Mass spec metabolomics)",https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
Experimental Platform,"Specific platform used to perform experiment (e.g. SOMAscan, MSD, Luminex, Illumina)",dataset_file_manifest,,dataset_file_manifest,Experimental Platform,"Specific platform used to perform experiment (e.g. SOMAscan, MSD, Luminex, Illumina)",https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
File Format,"Format of file (e.g. tsv, cram, gvcf, vcf, maf, txt, pdf, html, png)",dataset_file_manifest,,dataset_file_manifest,File Format,"Format of file (e.g. tsv, cram, gvcf, vcf, maf, txt, pdf, html, png)",https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
File Size,"Size of file, if known (mainly important if large)",dataset_file_manifest,,dataset_file_manifest,File Size,"Size of file, if known (mainly important if large)",https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
File Size Unit,Unit of file size,dataset_file_manifest,,dataset_file_manifest,File Size Unit,Unit of file size,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest,
Controlled,Controlled,dataset_file_manifest,Data Access,Data Access,Controlled,Controlled,https://includedcc.org/fhir/code-systems/data_access_types,
Open,Open,dataset_file_manifest,Data Access,Data Access,Open,Open,https://includedcc.org/fhir/code-systems/data_access_types,
Registered,Registered,dataset_file_manifest,Data Access,Data Access,Registered,Registered,https://includedcc.org/fhir/code-systems/data_access_types,
Whole genome sequencing,Whole genome sequencing,dataset_file_manifest,Experimental Strategy,Experimental Strategy,Whole genome sequencing,Whole genome sequencing,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/experimental_strategy,
bai,bai,dataset_file_manifest,File Format,File Format,bai,bai,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/file_format,
bam,bam,dataset_file_manifest,File Format,File Format,bam,bam,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/file_format,
crai,crai,dataset_file_manifest,File Format,File Format,crai,crai,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/file_format,
cram,cram,dataset_file_manifest,File Format,File Format,cram,cram,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/file_format,
fastq,fastq,dataset_file_manifest,File Format,File Format,fastq,fastq,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/file_format,
gvcf,gvcf,dataset_file_manifest,File Format,File Format,gvcf,gvcf,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/file_format,
html,html,dataset_file_manifest,File Format,File Format,html,html,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/file_format,
pdf,pdf,dataset_file_manifest,File Format,File Format,pdf,pdf,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/file_format,
tbi,tbi,dataset_file_manifest,File Format,File Format,tbi,tbi,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/file_format,
tsv,tsv,dataset_file_manifest,File Format,File Format,tsv,tsv,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/file_format,
txt,txt,dataset_file_manifest,File Format,File Format,txt,txt,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/file_format,
vcf,vcf,dataset_file_manifest,File Format,File Format,vcf,vcf,https://includedcc.org/fhir/CodeSystem/data-dictionary/dataset_file_manifest/file_format,
