local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Observed,Condition was observed or reported (this will be the case for most conditions),condition,Condition Interpretation,Condition Interpretation,LA33635-6,Observed,http://loinc.org
Observed,Condition was observed or reported (this will be the case for most conditions),Condition,Condition Interpretation,Condition Interpretation,confirmed,Confirmed,http://terminology.hl7.org/CodeSystem/condition-ver-status
Not Observed,Not Observed,condition,Condition Interpretation,Condition Interpretation,LA19655-2,Not Observed,http://loinc.org
Current,Condition is ongoing,Condition,Condition Status,Condition Status,LA9040-2,Ongoing,http://loinc.org
Resolved,Condition has been resolved,Condition,Condition Status,Condition Status,LA9041-0,Resolved,http://loinc.org
History Of,History Of,condition,Condition Status,Condition Status,392521001,Histor of,SMOMED,http://snomed.info/sct
Cardiac Arrhythmia,Cardiac Arrhythmia,condition,HPO Code,condition_description,0011675,Arrhythmia,http://purl.obolibrary.org/obo/hp.owl,
Cardiac Arrhythmia,Cardiac Arrhythmia,condition,MONDO Code,condition_description,0007263,cardiac rhythm disease,http://purl.obolibrary.org/obo/mondo.owl,
Down syndrome,Down syndrome,condition,MONDO Code,condition_description,0008608,Down syndrome,http://purl.obolibrary.org/obo/mondo.owl,
Dehydration (Probably viral gastroenteritis),Dehydration (Probably viral gastroenteritis),condition,HPO Code,condition_description,0001944,Dehydration,http://purl.obolibrary.org/obo/hp.owl,
Dehydration (Probably viral gastroenteritis),Dehydration (Probably viral gastroenteritis),condition,MONDO Code,condition_description,0002269,gastroenteritis,http://purl.obolibrary.org/obo/mondo.owl,
Atrioventricular Septal Defect of Heart,Atrioventricular Septal Defect of Heart,condition,HPO Code,condition_description,0006695,Atrioventricular canal defect,http://purl.obolibrary.org/obo/hp.owl,
Atrioventricular Septal Defect of Heart,Atrioventricular Septal Defect of Heart,condition,MONDO Code,condition_description,0859565,atrioventricular septal defect,http://purl.obolibrary.org/obo/mondo.owl,
Sudden Unexplained Infant Death,Sudden Unexplained Infant Death,condition,HPO Code,condition_description,0001522,Death in infancy,http://purl.obolibrary.org/obo/hp.owl,
Sudden Unexplained Infant Death,Sudden Unexplained Infant Death,condition,MONDO Code,condition_description,1010116,sudden unexpected infant death,http://purl.obolibrary.org/obo/mondo.owl,
Sudden Unexplained Infant Death,Sudden Unexplained Infant Death,condition,Other Code,condition_description,C111853,Sudden Unexplained Infant Death,http://purl.obolibrary.org/obo/ncit.owl,
Complications of Congenital Heart Disease,Complications of Congenital Heart Disease,condition,HPO Code,condition_description,0001627,Abnormal heart morphology,http://purl.obolibrary.org/obo/hp.owl,
Complications of Congenital Heart Disease,Complications of Congenital Heart Disease,condition,MONDO Code,condition_description,0005453,congenital heart disease,http://purl.obolibrary.org/obo/mondo.owl,
Asphyxia Due to Overlay,Asphyxia Due to Overlay,condition,Other Code,condition_description,274222001,Accidental asphyxia (event),http://snomed.info/sct,
Sudden Unexplained Death in Infancy,Sudden Unexplained Death in Infancy,condition,HPO Code,condition_description,0001522,Death in infancy,http://purl.obolibrary.org/obo/hp.owl,
Sudden Unexplained Death in Infancy,Sudden Unexplained Death in Infancy,condition,MONDO Code,condition_description,1010116,sudden unexpected infant death,http://purl.obolibrary.org/obo/mondo.owl,
Sudden Unexplained Death in Infancy,Sudden Unexplained Death in Infancy,condition,Other Code,condition_description,C111853,Sudden Unexplained Infant Death,http://purl.obolibrary.org/obo/ncit.owl,
