local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Observed,Condition was observed or reported (this will be the case for most conditions),condition,Condition Interpretation,Condition Interpretation,LA33635-6,Observed,http://loinc.org
Observed,Condition was observed or reported (this will be the case for most conditions),Condition,Condition Interpretation,Condition Interpretation,confirmed,Confirmed,http://terminology.hl7.org/CodeSystem/condition-ver-status
Not Observed,Not Observed,condition,Condition Interpretation,Condition Interpretation,LA19655-2,Not Observed,http://loinc.org
Current,Condition is ongoing,Condition,Condition Status,Condition Status,LA9040-2,Ongoing,http://loinc.org
Resolved,Condition has been resolved,Condition,Condition Status,Condition Status,LA9041-0,Resolved,http://loinc.org
History Of,History Of,condition,Condition Status,Condition Status,392521001,Histor of,SMOMED,http://snomed.info/sct
Down syndrome,Down syndrome,condition,MONDO Code,condition_description,0008608,Down syndrome,http://purl.obolibrary.org/obo/mondo.owl,
BMI,BMI,condition,Other Code,condition_description,C16358,Body Mass Index,http://purl.obolibrary.org/obo/ncit.owl,
Weight,Weight,condition,Other Code,condition_description,C81328,Body Weight,http://purl.obolibrary.org/obo/ncit.owl,
Height,Height,condition,Other Code,condition_description,C164634,Body Height,http://purl.obolibrary.org/obo/ncit.owl,
Anxiety,Anxiety,condition,HPO Code,condition_description,0000739,Anxiety,http://purl.obolibrary.org/obo/hp.owl,
Anxiety,Anxiety,condition,MONDO Code,condition_description,0011918,anxiety,http://purl.obolibrary.org/obo/mondo.owl,
GERD,GERD,condition,HPO Code,condition_description,0002020,Gastroesophageal reflux,http://purl.obolibrary.org/obo/hp.owl,
GERD,GERD,condition,MONDO Code,condition_description,0007186,gastroesophageal reflux disease,http://purl.obolibrary.org/obo/mondo.owl,
Glasses,Glasses,condition,MAXO Code,condition_description,0025004,glasses usage,http://purl.obolibrary.org/obo/maxo.owl,
Complete trisomy 21,Complete trisomy 21,condition,MONDO Code,condition_description,0700030,complete trisomy 21,http://purl.obolibrary.org/obo/mondo.owl,
Congenital heart defect (CHD) - any,Congenital heart defect (CHD) - any,condition,HPO Code,condition_description,0001627,Abnormal heart morphology,http://purl.obolibrary.org/obo/hp.owl,
Congenital heart defect (CHD) - any,Congenital heart defect (CHD) - any,condition,MONDO Code,condition_description,0005453,congenital heart disease,http://purl.obolibrary.org/obo/mondo.owl,
Congenital heart defect repair,Congenital heart defect repair,condition,MAXO Code,condition_description,0025002,heart repair,http://purl.obolibrary.org/obo/maxo.owl,
Dev. delay not otherwise specified,Dev. delay not otherwise specified,condition,HPO Code,condition_description,0001263,Global developmental delay,http://purl.obolibrary.org/obo/hp.owl,
Duodenal atresia/stenosis,Duodenal atresia/stenosis,condition,HPO Code,condition_description,0002246,Abnormal duodenum morphology,http://purl.obolibrary.org/obo/hp.owl,
Duodenal atresia/stenosis,Duodenal atresia/stenosis,condition,MONDO Code,condition_description,0009126,duodenal atresia (disease),http://purl.obolibrary.org/obo/mondo.owl,
Fatigue,Fatigue,condition,HPO Code,condition_description,0012378,Fatigue,http://purl.obolibrary.org/obo/hp.owl,
Headache,Headache,condition,HPO Code,condition_description,0002315,Headache,http://purl.obolibrary.org/obo/hp.owl,
