local code,text,table_name,parent_varname,local code system,code,display,code system,comment
kg,Kilograms,,,units,kg,Kilograms,http://unitsofmeasure.org,
cm,cm,,,units,cm,cm,http://unitsofmeasure.org,
kg/m2,kg/m2,,,units,kg/m2,kg/m2,http://unitsofmeasure.org,
kg/m^2,kg/m^2,,,units,kg/m2,kg/m2,http://unitsofmeasure.org,
%,%,,,units,%,%,http://unitsofmeasure.org,
weeks,weeks,,,units,wk,weeks,http://unitsofmeasure.org,
10^9 cells/L,10^9 cells/L,,,units,10*9/L,billion per liter,http://unitsofmeasure.org,
L of red blood cells/L of blood,L of red blood cells/L of blood,,,units,L/L,liter per liter,http://unitsofmeasure.org,
g/dL,g/dL,,,units,g/dL,g/dL,http://unitsofmeasure.org,
Weight,Kilograms,,,units,kg,Kilograms,http://unitsofmeasure.org,
Height,cm,,,units,cm,cm,http://unitsofmeasure.org,
BMI,kg/m2,,,units,kg/m2,kg/m2,http://unitsofmeasure.org,
ml,ml,,,units,ml,ml,http://unitsofmeasure.org,
ml,ml,,,Vial_Volume,ml,ml,http://unitsofmeasure.org,
permL,/mL,,,units,/mL,/mL,http://unitsofmeasure.org,
