local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Study Code,"Unique identifer for the study, assigned by DCC",participant,,participant,Study Code,"Unique identifer for the study, assigned by DCC",https://includedcc.org/fhir/CodeSystem/data-dictionary/participant,
Participant Global ID,"Unique INCLUDE global identifier for the participant, assigned by DCC",participant,,participant,Participant Global ID,"Unique INCLUDE global identifier for the participant, assigned by DCC",https://includedcc.org/fhir/CodeSystem/data-dictionary/participant,
Participant External ID,"Unique, de-identified identifier for the participant, assigned by data contributor. External IDs must be two steps removed from personal information in the study records.",participant,,participant,Participant External ID,"Unique, de-identified identifier for the participant, assigned by data contributor. External IDs must be two steps removed from personal information in the study records.",https://includedcc.org/fhir/CodeSystem/data-dictionary/participant,
Family ID,"Unique identifer for family to which Participant belongs, assigned by data contributor",participant,,participant,Family ID,"Unique identifer for family to which Participant belongs, assigned by data contributor",https://includedcc.org/fhir/CodeSystem/data-dictionary/participant,
Family Type,Structure of family members participating in the study,participant,,participant,Family Type,Structure of family members participating in the study,https://includedcc.org/fhir/CodeSystem/data-dictionary/participant,
Father ID,Participant External ID for Participant's father (NA if Participant is not the proband),participant,,participant,Father ID,Participant External ID for Participant's father (NA if Participant is not the proband),https://includedcc.org/fhir/CodeSystem/data-dictionary/participant,
Mother ID,Participant External ID for Participant's mother (NA if Participant is not the proband),participant,,participant,Mother ID,Participant External ID for Participant's mother (NA if Participant is not the proband),https://includedcc.org/fhir/CodeSystem/data-dictionary/participant,
Sibling ID,Participant External ID for Participant's sibling(s) (NA if Participant is not the proband),participant,,participant,Sibling ID,Participant External ID for Participant's sibling(s) (NA if Participant is not the proband),https://includedcc.org/fhir/CodeSystem/data-dictionary/participant,
Other Family Member ID,Participant External ID for Participant's other family members (NA if Participant is not the proband),participant,,participant,Other Family Member ID,Participant External ID for Participant's other family members (NA if Participant is not the proband),https://includedcc.org/fhir/CodeSystem/data-dictionary/participant,
Family Relationship,Relationship of Participant to proband,participant,,participant,Family Relationship,Relationship of Participant to proband,https://includedcc.org/fhir/CodeSystem/data-dictionary/participant,
Sex,Sex of Participant,participant,,participant,Sex,Sex of Participant,https://includedcc.org/fhir/CodeSystem/data-dictionary/participant,
Race,Race of Participant,participant,,participant,Race,Race of Participant,https://includedcc.org/fhir/CodeSystem/data-dictionary/participant,
