local code,text,table_name,parent_varname,local code system,code,display,code system,comment
ATACseq,ATAC-Seq Sample,specimen,Sample Type,Sample Type,ATAC-Seq-Sample,ATAC-Seq Sample,https://includedcc.org/fhir/code-systems/sample_types,
B cells Cryo,B Cells Cryo,specimen,Sample Type,Sample Type,B-Cells,B Cells,https://includedcc.org/fhir/code-systems/sample_types,
Blood Smear Slide,Blood Smear Slide,specimen,Sample Type,Sample Type,Blood-Smear-Slide,Blood Smear Slide,https://includedcc.org/fhir/code-systems/sample_types,
Buffy Coat,Buffy Coat,specimen,Sample Type,Sample Type,Buffy-Coat,Buffy Coat,https://includedcc.org/fhir/code-systems/sample_types,
CD4+ Tconv Cells,CD4+ Tconv Cells,specimen,Sample Type,Sample Type,CD4+-Tconv-Cells,CD4+ Tconv Cells,https://includedcc.org/fhir/code-systems/sample_types,
CD4+ Tconv cells,CD4+ Tconv Cells,specimen,Sample Type,Sample Type,CD4+-Tconv-Cells,CD4+ Tconv Cells,https://includedcc.org/fhir/code-systems/sample_types,
CD8+ T Cells,CD8+ T Cells,specimen,Sample Type,Sample Type,CD8+T-Cells,CD8+ T Cells,https://includedcc.org/fhir/code-systems/sample_types,
CD8+ T cells,CD8+ T Cells,specimen,Sample Type,Sample Type,CD8+T-Cells,CD8+ T Cells,https://includedcc.org/fhir/code-systems/sample_types,
CYTOF Ready White Blood Cells, CYTOF Ready White Blood Cells,specimen,Sample Type,Sample Type,WBCs,White Blood Cells,https://includedcc.org/fhir/code-systems/sample_types,
DNA,DNA,specimen,Sample Type,Sample Type,DNA,DNA,https://includedcc.org/fhir/code-systems/sample_types,
Granulocytes,Granulocytes,specimen,Sample Type,Sample Type,Granulocytes,Granulocytes,https://includedcc.org/fhir/code-systems/sample_types,
Monocytes,Monocytes,specimen,Sample Type,Sample Type,Monocytes,Monocytes,https://includedcc.org/fhir/code-systems/sample_types,
NK cells,NK Cells,specimen,Sample Type,Sample Type,NK-Cells,NK Cells,https://includedcc.org/fhir/code-systems/sample_types,
PAXgene Whole Blood DNA,PAXgene Whole Blood DNA,specimen,Sample Type,Sample Type,DNA,DNA,https://includedcc.org/fhir/code-systems/sample_types,
PAXgene Whole Blood DNA Tube,PAXgene Whole Blood DNA Tube,specimen,Sample Type,Sample Type,DNA,DNA,https://includedcc.org/fhir/code-systems/sample_types,
PAXgene Whole Blood RNA,PAXgene Whole Blood RNA,specimen,Sample Type,Sample Type,RNA,RNA,https://includedcc.org/fhir/code-systems/sample_types,
PAXgene Whole Blood RNA Tube,PAXgene Whole Blood RNA Tube,specimen,Sample Type,Sample Type,RNA,RNA,https://includedcc.org/fhir/code-systems/sample_types,
PBMC,PBMCs,specimen,Sample Type,Sample Type,PBMCs,PBMCs,https://includedcc.org/fhir/code-systems/sample_types,
Peripheral Blood Mononuclear Cells,Peripheral Blood Mononuclear Cells,specimen,Sample Type,Sample Type,PBMCs,PBMCs,https://includedcc.org/fhir/code-systems/sample_types,
Peripheral Whole Blood,Peripheral Whole Blood,specimen,Sample Type,Sample Type,Peripheral-Whole-Blood,Peripheral Whole Blood,https://includedcc.org/fhir/code-systems/sample_types,
Plasma,Plasma,specimen,Sample Type,Sample Type,Plasma,Plasma,https://includedcc.org/fhir/code-systems/sample_types,
Red Blood Cells,Red Blood Cells,specimen,Sample Type,Sample Type,Red-Blood-Cells,Red Blood Cells,https://includedcc.org/fhir/code-systems/sample_types,
RNA,RNA,specimen,Sample Type,Sample Type,RNA,RNA,https://includedcc.org/fhir/code-systems/sample_types,
Saliva,Saliva,specimen,Sample Type,Sample Type,C174119,Saliva Sample,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C174119
Saliva,Saliva,specimen,Sample Type,Sample Type,Saliva,Saliva,https://includedcc.org/fhir/code-systems/sample_types,
Salivette,Salivette,specimen,Sample Type,Sample Type,C174119,Saliva Sample,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C174119
Salivette,Salivette,specimen,Sample Type,Sample Type,Saliva,Saliva,https://includedcc.org/fhir/code-systems/sample_types,
Skin Tape,Skin Tape,specimen,Sample Type,Sample Type,Skin-Tape,Skin Tape,https://includedcc.org/fhir/code-systems/sample_types,
Tongue Swab,Tongue,specimen,Sample Type,Sample Type,Tongue-Swab,Tongue Swab,https://includedcc.org/fhir/code-systems/sample_types,
Tregs,Regulatory T Cells,specimen,Sample Type,Sample Type,Tregs,Regulatory T Cells,https://includedcc.org/fhir/code-systems/sample_types,
White Blood Cells,White Blood Cells,specimen,Sample Type,Sample Type,WBCs,White Blood Cells,https://includedcc.org/fhir/code-systems/sample_types,
White Blood Cells Cryo,White Blood Cells Cryo,specimen,Sample Type,Sample Type,WBCs,White Blood Cells,https://includedcc.org/fhir/code-systems/sample_types,
White Blood Cells DNA,White Blood Cells DNA,specimen,Sample Type,Sample Type,DNA,DNA,https://includedcc.org/fhir/code-systems/sample_types,
White Blood Cells Protein,White Blood Cells Protein,specimen,Sample Type,Sample Type,WBCs,White Blood Cells,https://includedcc.org/fhir/code-systems/sample_types,
White Blood Cells RNA,White Blood Cells RNA,specimen,Sample Type,Sample Type,RNA,RNA,https://includedcc.org/fhir/code-systems/sample_types,
