local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Observed,Condition was observed or reported (this will be the case for most conditions),condition,Condition Interpretation,Condition Interpretation,LA33635-6,Observed,http://loinc.org
Observed,Condition was observed or reported (this will be the case for most conditions),Condition,Condition Interpretation,Condition Interpretation,confirmed,Confirmed,http://terminology.hl7.org/CodeSystem/condition-ver-status
Not Observed,Not Observed,condition,Condition Interpretation,Condition Interpretation,LA19655-2,Not Observed,http://loinc.org
Current,Condition is ongoing,Condition,Condition Status,Condition Status,LA9040-2,Ongoing,http://loinc.org
Resolved,Condition has been resolved,Condition,Condition Status,Condition Status,LA9041-0,Resolved,http://loinc.org
History Of,History Of,condition,Condition Status,Condition Status,392521001,Histor of,SMOMED,http://snomed.info/sct
BMI,BMI,condition,Other Code,condition_description,39156-5,Body Mass Index,https://loinc.org/,
Weight (lbs),Weight (lbs),condition,Other Code,condition_description,29463-7,Body Weight,https://loinc.org/,
Height (inches),Height (inches),condition,Other Code,condition_description,8302-2,Body Height,https://loinc.org/,
Allergies,Allergies,condition,HPO Code,condition_description,0012393,Allergy,http://purl.obolibrary.org/obo/hp.owl,
Allergies,Allergies,condition,MONDO Code,condition_description,0005271,allergic disease,http://purl.obolibrary.org/obo/mondo.owl,
Atrial Septal Defect (ASD),Atrial Septal Defect (ASD),condition,HPO Code,condition_description,0001631,Atrial septal defect,http://purl.obolibrary.org/obo/hp.owl,
Atrial Septal Defect (ASD),Atrial Septal Defect (ASD),condition,MONDO Code,condition_description,0006664,atrial septal defect,http://purl.obolibrary.org/obo/mondo.owl,
Overweight,Overweight,condition,HPO Code,condition_description,0025502,Overweight,http://purl.obolibrary.org/obo/hp.owl,
Trisomy 21,Trisomy 21,condition,MONDO Code,condition_description,0700126,trisomy 21,http://purl.obolibrary.org/obo/mondo.owl,
"Gastro-Intestinal Concerns (GERD/acid reflux, constipation, celiac, diarrhea, Hirschprung's)","Gastro-Intestinal Concerns (GERD/acid reflux, constipation, celiac, diarrhea, Hirschprung's)",condition,HPO Code,condition_description,0025031,Abnormality of the digestive system,http://purl.obolibrary.org/obo/hp.owl,
"Gastro-Intestinal Concerns (GERD/acid reflux, constipation, celiac, diarrhea, Hirschprung's)","Gastro-Intestinal Concerns (GERD/acid reflux, constipation, celiac, diarrhea, Hirschprung's)",condition,MONDO Code,condition_description,0004335,digestive system disorder,http://purl.obolibrary.org/obo/mondo.owl,
Mild occasional constipation,Mild occasional constipation,condition,HPO Code,condition_description,0002019,Constipation,http://purl.obolibrary.org/obo/hp.owl,
Mild occasional constipation,Mild occasional constipation,condition,MONDO Code,condition_description,0002203,constipation disorder,http://purl.obolibrary.org/obo/mondo.owl,
Right-handed,Right-handed,condition,Other Code,condition_description,46669005,Right handed (finding),http://snomed.info/sct,
Speech Impairment,Speech Impairment,condition,HPO Code,condition_description,0002167,Abnormality of speech or vocalization,http://purl.obolibrary.org/obo/hp.owl,
Speech Impairment,Speech Impairment,condition,MONDO Code,condition_description,0004730,speech disorder,http://purl.obolibrary.org/obo/mondo.owl,
Delayed speech; apraxia; stutters,Delayed speech; apraxia; stutters,condition,HPO Code,condition_description,0000750,Delayed speech and language development,http://purl.obolibrary.org/obo/hp.owl,
