local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Observed,Condition was observed or reported (this will be the case for most conditions),condition,Condition Interpretation,Condition Interpretation,LA33635-6,Observed,http://loinc.org
Observed,Condition was observed or reported (this will be the case for most conditions),Condition,Condition Interpretation,Condition Interpretation,confirmed,Confirmed,http://terminology.hl7.org/CodeSystem/condition-ver-status
Not Observed,Not Observed,condition,Condition Interpretation,Condition Interpretation,LA19655-2,Not Observed,http://loinc.org
Current,Condition is ongoing,Condition,Condition Status,Condition Status,LA9040-2,Ongoing,http://loinc.org
Resolved,Condition has been resolved,Condition,Condition Status,Condition Status,LA9041-0,Resolved,http://loinc.org
History Of,History Of,condition,Condition Status,Condition Status,392521001,Histor of,SMOMED,http://snomed.info/sct
Obstructive sleep apnea,Obstructive sleep apnea,condition,HPO Code,condition_description,0002870,Obstructive sleep apnea,http://purl.obolibrary.org/obo/hp.owl,
Obstructive sleep apnea,Obstructive sleep apnea,condition,MONDO Code,condition_description,0007147,obstructive sleep apnea syndrome,http://purl.obolibrary.org/obo/mondo.owl,
Other diseases of lung,Other diseases of lung,condition,HPO Code,condition_description,0002086,Abnormality of the respiratory system,http://purl.obolibrary.org/obo/hp.owl,
Other diseases of lung,Other diseases of lung,condition,MONDO Code,condition_description,0005275,lung disorder,http://purl.obolibrary.org/obo/mondo.owl,
Pneumonitis due to inhalation of food or vomitus,Pneumonitis due to inhalation of food or vomitus,condition,MONDO Code,condition_description,0002572,aspiration pneumonitis,http://purl.obolibrary.org/obo/mondo.owl,
Intestinal malabsorption,Intestinal malabsorption,condition,HPO Code,condition_description,0002024,Malabsorption,http://purl.obolibrary.org/obo/hp.owl,
Intestinal malabsorption,Intestinal malabsorption,condition,MONDO Code,condition_description,0020598,malabsorption syndrome,http://purl.obolibrary.org/obo/mondo.owl,
Other derangement of joint,Other derangement of joint,condition,HPO Code,condition_description,0001367,Abnormal joint morphology,http://purl.obolibrary.org/obo/hp.owl,
Diseases of hard tissues of teeth,Diseases of hard tissues of teeth,condition,HPO Code,condition_description,0006482,Abnormality of dental morphology,http://purl.obolibrary.org/obo/hp.owl,
Diseases of hard tissues of teeth,Diseases of hard tissues of teeth,condition,MONDO Code,condition_description,0006999,tooth disorder,http://purl.obolibrary.org/obo/mondo.owl,
Lung disease due to external agents,Lung disease due to external agents,condition,Other Code,condition_description,266366003,Lung disease due to external agents (disorder),http://snomed.info/sct,
Dental caries,Dental caries,condition,HPO Code,condition_description,0000670,Carious teeth,http://purl.obolibrary.org/obo/hp.owl,
Dental caries,Dental caries,condition,MONDO Code,condition_description,0005276,dental caries,http://purl.obolibrary.org/obo/mondo.owl,
Impacted cerumen,Impacted cerumen,condition,HPO Code,condition_description,0030788,Impacted cerumen,http://purl.obolibrary.org/obo/hp.owl,
Respiratory insufficiency,Respiratory insufficiency,condition,HPO Code,condition_description,0002093,Respiratory insufficiency,http://purl.obolibrary.org/obo/hp.owl,
Other disorders of external ear,Other disorders of external ear,condition,HPO Code,condition_description,0000356,Abnormality of the outer ear,http://purl.obolibrary.org/obo/hp.owl,
